Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Олійник,Світлана,Юріївна,жіноча,1987-04-03,Антрополог,хутір Богуслав,"набережна Волзький, буд. 33, Ясинувата, 84550",+380 (03) 773-49-97,acharnysh@example.org
Єрмоленко,Пилип,Дмитрович,чоловіча,1980-12-20,Програміст,хутір Єнакієве,"узвіз Краснослобідська, буд. 738, Арциз, 53369",441 68 03,mykytaishchenko@example.org
Давиденко,Едита,Петрівна,жіноча,1962-12-25,Хореограф,селище Золоте,"площа Ланжерон, буд. 996, Першотравенськ, 04686",+380 06 981-32-21,konopliakhrystyna@example.org
Мазур,Георгій,Артемович,чоловіча,1999-07-21,Кінорежисер,хутір Сновськ,"парк Ракетна, буд. 085 кв. 6, Ровеньки, 05713",+380 53 180-71-92,iaremchukopanas@example.net
Бабариченко,Аврелій,Михайлович,чоловіча,2004-07-12,Педагог,село Овруч,"вулиця Марата 2-й, буд. 866 кв. 467, Ніжин, 24734",979-67-38,hdavymuka@example.org
Ємець,Ярослав,Ігоревич,чоловіча,1957-03-16,Художник,село Долинська,"шосе Березовий, буд. 48 кв. 067, Угнів, 07003",+380 77 935-84-54,nhupalo@example.net
Яремко,Олена,Павлівна,жіноча,1945-07-05,Кіноактор,село Хорол ,"провулок Отамана Чепіги, буд. 14, Бобринець, 07356",+380 81 101-58-59,iustymperebyinis@example.com
Корсун,Михайлина,Вікторівна,жіноча,1950-06-03,Архітектор,місто Кремінна,"набережна Петрашевського, буд. 14 кв. 901, Ходорів, 11393",+380 44 420-36-04,marynadakhno@example.org
Павличенко,Наталія,Василівна,жіноча,1991-04-28,Архітектор,селище Херсон,"вулиця Каркашадзе, буд. 9, Баштанка, 58276",595 47 08,nestoriashchuk@example.com
Оліфіренко,Соломон,Юрійович,чоловіча,1940-08-10,Диригент,хутір Попасна,"парк Старобазарний, буд. 5 кв. 37, Яготин, 63997",+380 55 621-48-14,andriisachenko@example.net
Вакуленко,Феофан,Вікторович,чоловіча,1980-07-12,Архітектор,селище Южне,"сквер Гена Іоганна, буд. 565, Борзна, 25954",024 195-74-98,snizhana72@example.org
Мазепа,Григорій,Іванович,чоловіча,1987-04-03,Палеонтолог,селище Новоазовськ,"вулиця Савранська, буд. 695, Сновськ, 34273",231 53 41,mykhailychenkoroksolana@example.org
Харченко,Віолетта,Миколаївна,жіноча,1982-11-16,Пекар,хутір Шаргород,"шосе Верхня, буд. 961 кв. 2, Черкаси, 91005",+380 87 032-91-33,vovkolena@example.org
Франчук,Микита,Васильович,чоловіча,1958-06-14,Промисловець,село Дружківка,"площа Обільна, буд. 94 кв. 14, Київ, 88315",+380 63 806 20 28,priska71@example.org
Тригуб,Максим,Ігоревич,чоловіча,1955-03-27,Ветеринар,селище Щастя ,"проспект Флотська, буд. 15 кв. 37, Лутугине, 90883",+380 (75) 250-47-69,bohuslava82@example.org
Вовк,Тетяна,Вікторівна,жіноча,1953-03-09,Актор,село Липовець,"набережна Ломоносова, буд. 46, Шпола, 86966",+380 84 833 09 44,stussofiia@example.com
Василенко,Едуард,Михайлович,чоловіча,1949-01-08,Лікар,село Верхньодніпровськ,"вулиця Керченський 1-й, буд. 28, Ковель, 72351",264 98 06,jderiazhnyi@example.com
Сіробаба,Микита,Федорович,чоловіча,1949-07-31,Піаніст,селище Кам'янка (Черкаська область),"узвіз Лідерсівський, буд. 865, Верхньодніпровськ, 95217",386-72-68,maryna12@example.org
Бабиченко,Леон,Геннадійович,чоловіча,1965-10-03,Продюсер,селище Чистякове,"парк Молодіжна, буд. 75, Кипуче, 35271",+380 17 253-09-93,hkyrylenko@example.org
Ажажа,Степан,Юрійович,чоловіча,1995-10-01,Дантист,село Богуслав,"набережна Солонцюватий 1-й, буд. 516 кв. 0, Горішні Плавні, 23405",792-67-69,varfolomii51@example.net
Удовиченко,Онисим,Дмитрович,чоловіча,1969-01-05,Електрослюсар,хутір Буринь,"узвіз Клинова, буд. 68 кв. 39, Бахмач, 81067",+380 (27) 463-71-69,dan51@example.com
Абрамчук,Галина,Андріївна,жіноча,1969-11-03,Бібліограф,місто Іловайськ,"набережна Сільська, буд. 02, Костопіль, 99652",966-56-38,iustyna03@example.net
Ільєнко,Олег,Романович,чоловіча,1963-03-05,Патологоанатом,селище Белз,"набережна Райдужна, буд. 9, Борислав, 46055",+380 20 430 77 27,khomenkovitalii@example.org
Полтавець,Лесь,Сергійович,чоловіча,1977-08-02,Філолог,місто Гуляйполе,"парк Північна, буд. 27 кв. 917, Ворожба, 19933",+380 06 395-14-43,cnikoliuk@example.net
Юрчук,Олександр,Андрійович,чоловіча,1992-04-08,Музикознавець,місто Харків,"шосе Травневий 5-й, буд. 2, Борщів, 26853",210-93-02,ielysaveta29@example.com
Баран,Аркадій,Сергійович,чоловіча,1974-03-20,Стиліст,місто Хотин,"сквер Сабанєєв, буд. 53 кв. 85, Корець, 94317",026 378 82 92,ghavrysh@example.org
Височан,Владислав,Сергійович,чоловіча,1948-08-12,Науковець,селище Вижниця,"набережна Локомотивний 4-й, буд. 8, Чернівці, 69142",+380 (60) 288-42-37,shupalo@example.net
Акуленко,Яків,Ігоревич,чоловіча,1956-07-31,Живописець,селище Кам'янка (Черкаська область),"парк Транспортна, буд. 4 кв. 70, Люботин, 70057",+380 06 066-42-06,valerii52@example.net
Чайка,Марина,Михайлівна,жіноча,1969-03-16,Музикант,місто Бердянськ,"шосе Чорноморський 1-й, буд. 839, Лебедин, 02150",+380 (20) 093-03-40,iefremivashchenko@example.org
Гайдабура,Амалія,Сергіївна,жіноча,1965-07-28,Секретар,хутір Чугуїв,"проспект Умова, буд. 26 кв. 11, Вараш, 52507",+380 (19) 139-69-82,bazylevychorysia@example.org
Данькевич,Сніжана,Артемівна,жіноча,1963-11-06,Акушер,хутір Новогродівка,"узвіз Чапаєва 2-й, буд. 771, Теплодар, 07307",467-71-64,andrii79@example.com
Бевзенко,Стефан,Юрійович,чоловіча,2006-03-05,Юрист,село Луганськ,"площа Гладкова, буд. 68, Марганець , 03748",836-29-20,varfolomiihohol@example.org
Зінченко,Сніжана,Леонідівна,жіноча,1948-05-10,Кушнір,місто Кривий Ріг,"провулок Скрипковий, буд. 8, Дубно, 91121",+380 (25) 914-67-09,perebyinisamvrosii@example.net
Сімашкевич,Хома,Павлович,чоловіча,2003-11-30,Будник,місто Стебник,"шосе Соляний 7-й, буд. 85 кв. 714, Красногорівка, 23509",072 420 41 73,sromanets@example.net
Бабариченко,Олекса,Михайлович,чоловіча,1970-09-01,Драматург,селище Новоград-Волинський,"набережна Бучми, буд. 976 кв. 724, Городенка, 15696",+380 10 869-81-27,zhunko@example.com
Ващенко,Лариса,Сергіївна,жіноча,1972-12-07,Петрограф,село Городня,"проспект Деволанівський узвіз, буд. 2 кв. 771, Остер , 66574",+380 (59) 400-83-58,teodor96@example.com
Онищенко,Єва,Олександрівна,жіноча,1939-02-09,Менеджер,місто Кадіївка,"шосе Патріотична, буд. 55, Красноперекопськ, 97330",+380 47 065-17-61,iarema50@example.com
Саченко,Святослава,Василівна,жіноча,1951-01-31,Скульптор,село Золоте,"проспект Олександрівський, буд. 73, Переяслав, 11832",712 20 36,hryhorii49@example.org
Теліженко,Марко,Леонідович,чоловіча,1940-05-03,Дерун,село Рожище,"провулок Пастера, буд. 986 кв. 36, Іллінці, 14467",593-87-51,viacheslavruban@example.com
Корбут,Макар,Михайлович,чоловіча,1991-12-17,Художник,село Українка ,"сквер Французький, буд. 927 кв. 9, Попасна, 02228",237 34 81,leon07@example.net
Бабиченко,Азар,Павлович,чоловіча,1991-01-13,Паблік рилейшнз,селище Берислав,"узвіз Квіткова, буд. 28, Городенка, 36842",228 44 78,martyn53@example.net
Колодуб,Сергій,Максимович,чоловіча,1992-08-12,Електромонтер,селище Бібрка,"вулиця Юрія Олеші, буд. 81 кв. 7, Радивилів, 72644",090 518-24-47,saliiliza@example.com
Шаблій,Сергій,Олегович,чоловіча,1949-09-29,Ветеринар,місто Червоноград,"парк Андрійця Олега, буд. 342 кв. 59, Здолбунів, 93562",042 347 49 59,mykyta29@example.net
Ісаєвич,Руслан,Леонідович,чоловіча,1980-06-08,Пекар,місто Хрустальний,"сквер Композитора Глинки, буд. 12 кв. 306, Євпаторія, 47186",017 389 69 71,jtovstukha@example.org
Фесенко,Орися,Федорівна,жіноча,1959-03-18,Науковець,хутір Голубівка,"шосе Економічний, буд. 57, Умань, 45881",038 207-96-11,stanislav81@example.com
Пилипенко,Камілла,Миколаївна,жіноча,1964-01-09,Прокурор,місто Кіцмань,"узвіз Водопровідний 2-й, буд. 97, Вовчанськ, 99081",041-69-10,solomon59@example.com
Василенко,Михайло,Павлович,чоловіча,1976-05-24,Стиліст,селище Луцьк,"узвіз Космонавта Комарова, буд. 302, Карлівка, 05652",790 96 04,vasylvertyporokh@example.net
Єрмоленко,Олена,Юріївна,жіноча,1977-11-17,Хореограф,селище Дрогобич,"площа Балтський 8-й, буд. 9, Тульчин, 58676",082-73-69,dbabiichuk@example.net
Гречаник,Гордій,Васильович,чоловіча,2006-04-07,Правник,село Лиман ,"парк Лінійна, буд. 127, Новоукраїнка, 84050",+380 84 303-62-09,iukhym89@example.net
Дараган,Наталія,Юріївна,жіноча,1964-01-18,Нотаріус,місто Броди,"вулиця Лютневий 2-й, буд. 69 кв. 2, Пирятин, 10375",+380 (16) 621-16-11,haidaburairyna@example.net
Аврамчук,Ярослав,Павлович,чоловіча,1967-12-15,Фармацевт,хутір Приморськ (Україна),"набережна Маковий, буд. 5, Славута, 17918",+380 63 816 01 31,zatovkaniuksviatoslav@example.org
Романчук,Вадим,Артемович,чоловіча,1942-10-25,Зоолог,селище Городок,"провулок Садовий, буд. 9 кв. 92, Кальміуське, 94916",027 235-20-78,derhachnataliia@example.net
Штокало,Хома,Васильович,чоловіча,1999-01-25,Слідчий,селище Ніжин,"вулиця 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 816, Верхівцеве, 08354",+380 (97) 947-00-22,xshvedchenko@example.org
Удовиченко,Климент,Дмитрович,чоловіча,1992-11-09,Адвокат,хутір Новоград-Волинський,"узвіз Степний 2-й, буд. 820 кв. 34, Вашківці, 65326",+380 36 556-55-36,svatamaniuk@example.com
Кабалюк,Адам,Геннадійович,чоловіча,1966-04-29,Дизайнер,місто Здолбунів,"набережна Чорноморський 8-й, буд. 01, Бердичів, 27951",+380 (73) 862-90-53,vadymavdieienko@example.org
Микитюк,Богдан,Романович,чоловіча,2008-08-12,Локсмайстер,село Кролевець,"площа Прокатна, буд. 11, Лубни, 50570",784-26-09,demiandemydenko@example.net
Якимчук,Златослава,Миколаївна,жіноча,1977-03-26,Кухар,місто Самбір,"сквер Чехова, буд. 513 кв. 4, Калинівка , 35860",+380 42 853 43 36,zorian78@example.net
Верменич,Роман,Леонідович,чоловіча,1952-09-26,Музичний редактор,село Буськ,"шосе Студентський 2-й, буд. 75, Вилкове, 38534",412 66 63,priska09@example.com
Бандурка,Олесь,Васильович,чоловіча,1960-04-20,Юрист,селище Донецьк,"проспект Трудова, буд. 541 кв. 81, Жидачів, 65386",+380 70 460-96-42,shchyrytsiapriska@example.org
Фесенко,Михайло,Леонідович,чоловіча,1948-09-14,Провізор,хутір Новодружеськ,"провулок 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 430, Нова Одеса, 96635",+380 17 107-48-22,paliisnizhana@example.com
Яценко,Стефан,Ігоревич,чоловіча,2002-04-10,Музикознавець,місто Кам'янець-Подільський,"шосе Чорноморський 11-й, буд. 9 кв. 120, Бровари, 06576",+380 (22) 455-54-74,volodymyraadamchuk@example.com
Ковпак,Аніта,Геннадіївна,жіноча,1973-02-07,Актор,село Олександрівськ,"парк Лінія 46-та, буд. 4 кв. 5, Нове Давидково, 62234",+380 86 524-40-04,dan17@example.net
Овчаренко,Кирило,Іванович,чоловіча,1958-08-03,Кушнір,село Оріхів,"шосе Мельницька, буд. 0 кв. 53, Винники, 40508",+380 96 466-92-39,hukmaksym@example.com
Нестеренко,Вікторія,Артемівна,жіноча,1953-03-06,Актор,селище Знам'янка,"парк Рожева, буд. 6 кв. 856, Географія Вільнянська, 43626",+380 55 366-23-87,velychkosvitlana@example.com
Бабій,Ольга,Михайлівна,жіноча,1970-07-04,Паблік рилейшнз,місто Лиман ,"парк Каспійський, буд. 740 кв. 8, Курахове, 05824",907 13 01,andriievychstanislav@example.com
Даниленко,Амвросій,Олександрович,чоловіча,1945-07-04,Модельєр,місто Олешки,"вулиця Спортивний, буд. 816, Сулимівка (Слов'янськ), 57229",+380 84 581-48-32,eduard96@example.com
Карпенко,Леон,Сергійович,чоловіча,1964-07-11,Письменник,хутір Подільськ,"провулок Лінія 37-ма, буд. 538 кв. 7, Помічна, 20115",+380 05 355 17 11,babiakvioletta@example.com
Юрчишин,Лілія,Петрівна,жіноча,1953-04-12,Мовознавець,селище Бахмут,"проспект Братів Поджіо, буд. 7, Таврійськ, 84353",076 153-91-85,arkadiisirobaba@example.com
Даньків,Єва,Федорівна,жіноча,1967-01-08,Хореограф,місто Слов'янськ,"шосе Ялинковий, буд. 5, Першотравенськ, 89423",+380 62 137-20-53,sofiiaisaienko@example.com
Дзюба,Руслан,Юрійович,чоловіча,1994-02-17,Нотаріус,селище Кам'янка (Черкаська область),"проспект Берегова, буд. 45 кв. 441, Покров, 57554",+380 91 812-35-80,atroshchenkozakhar@example.org
Аверченко,Аврелій,Дмитрович,чоловіча,1960-12-17,Нотаріус,місто Горішні Плавні,"шосе Андросовський, буд. 73, Житомир, 60685",+380 43 252-18-76,fbhydenko@example.org
Каденюк,Марія,Сергіївна,жіноча,1970-04-04,Патологоанатом,хутір Новодністровськ,"парк Юннатів 2-й, буд. 8 кв. 63, Гуляйполе, 68045",+380 11 249-03-00,khoma76@example.com
Козаченко,Тереза,Олександрівна,жіноча,1953-03-07,Мовознавець,хутір Могилів-Подільський,"узвіз Академіка Гаркавого, буд. 518, Монастириська, 88071",+380 58 793-06-34,zzinchuk@example.com
Ажажа,Ілля,Миколайович,чоловіча,1944-11-16,Режисер,хутір Надвірна,"проспект Соляний 5-й, буд. 63 кв. 9, Торецьк, 14730",+380 (13) 246-74-20,rostyslavbebeshko@example.org
Пилипенко,Світлана,Артемівна,жіноча,1999-12-01,Фармацевт,селище Армянськ,"проспект Чапаєва, буд. 648 кв. 66, Чистякове, 03255",053 826-30-72,amaliia96@example.org
Василашко,Варвара,Андріївна,жіноча,1976-04-06,Менеджер,хутір Ананьїв,"набережна Луценка Івана, буд. 2, Косів, 62991",+380 25 380-63-15,feofan87@example.com
Єрмоленко,Аніта,Миколаївна,жіноча,1944-01-17,Ґрунтознавець,селище Ходорів,"набережна Костанді 3-й, буд. 8, Жовква, 82596",030 051-26-23,velychkoorysia@example.net
Євдокименко,Марина,Дмитрівна,жіноча,1980-11-20,Складальник,місто Курахове,"парк Пересипський узвіз, буд. 138 кв. 365, Моршин, 89767",+380 (91) 367-81-51,priska44@example.net
Шморгун,Спас,Вікторович,чоловіча,1978-08-04,Музичний редактор,місто Горішні Плавні,"сквер Крижанівський, буд. 1 кв. 6, Радивилів, 76674",081 417 08 11,hdrozd@example.org
Базавлученко,Володимира,Геннадіївна,жіноча,1955-11-12,Петрограф,хутір Гірське,"парк Пестеля, буд. 098 кв. 77, Українка , 12470",858 62 84,danna64@example.com
Вдовенко,Остап,Миколайович,чоловіча,1966-10-10,Шериф,село Благовіщенське,"проспект Іванівська, буд. 1, Нововолинськ, 18607",062 877-14-69,ielysei35@example.org
Єфименко,Аврелій,Петрович,чоловіча,1964-07-13,Мірошник,селище Горохів,"площа Олександра Блока, буд. 3, Українськ, 58935",+380 11 323-71-46,lishchenko@example.net
Лупій,Амалія,Михайлівна,жіноча,1965-05-31,Дизайнер,хутір Вознесенівка,"площа Лесі Українки, буд. 247 кв. 960, Ізяслав, 05218",+380 29 189-69-99,onyshchenkoievhen@example.org
Вітрук,Йосип,Олегович,чоловіча,1944-01-08,Композитор,село Полтава,"сквер Коцебу міст, буд. 533 кв. 78, Херсон, 83220",+380 73 598 75 40,vladyslav57@example.org
Редько,Віра,Романівна,жіноча,2008-07-15,Акушер,селище Сміла,"парк Кондрашина, буд. 34, Хорол , 23758",+380 77 794-79-92,skopenkopriska@example.org
Девдюк,Леопольд,Михайлович,чоловіча,1984-09-09,Водій,хутір Кагарлик,"парк Амбулаторний 1-й, буд. 569, Корюківка, 59596",+380 15 487-30-71,leopold47@example.net
Хорішко,Ярема,Геннадійович,чоловіча,1995-11-12,Математик,місто Гадяч,"проспект Дніпропетровська дорога, буд. 30, Христинівка, 30255",978 95 23,les01@example.com
Копитко,Герман,Михайлович,чоловіча,1990-06-29,Круп'є,місто Генічеськ,"шосе Яблунева, буд. 833, Джанкой, 28694",069 275-50-87,ielysaveta31@example.org
Щербань,Стефан,Романович,чоловіча,1942-05-20,Фотограф,село Богуслав,"площа Прохоровський, буд. 0, Христинівка, 34967",084 148 00 00,artemdemianenko@example.org
Дробаха,Августин,Дмитрович,чоловіча,1990-09-13,Ді-джей,селище Дергачі,"сквер Офіцерська, буд. 830, Світловодськ, 60810",380 87 24,kbaklan@example.org
Бакуменко,Тереза,Петрівна,жіноча,1987-12-16,Євнух,селище Гуляйполе,"площа Ушинського, буд. 008, Калинівка , 77453",752 58 50,marynatryhub@example.org
Бабʼюк,Альберт,Васильович,чоловіча,1989-06-27,Ді-джей,село Яремче,"площа Лютнева, буд. 0 кв. 8, Рожище, 91390",+380 95 360 80 85,ieva82@example.net
Батіг,Пилип,Федорович,чоловіча,1976-05-17,Каскадер,місто Південне ,"сквер 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 85, Покровськ, 25551",009 922 62 73,andriichuknadiia@example.com
Голобородько,Аніта,Миколаївна,жіноча,1997-02-05,Актор,місто Немирів,"набережна Макаренка, буд. 77, Борщів, 41147",314 44 74,taras31@example.org
Яремків,Єфрем,Михайлович,чоловіча,1973-09-24,Композитор,селище Павлоград,"шосе Андрійця Олега, буд. 32, Жидачів, 74757",053 698-55-43,cdubyna@example.com
Проценко,Пилип,Олегович,чоловіча,1958-02-23,Швачка,селище Рахів,"проспект Вокзальна, буд. 1 кв. 687, Зміїв, 16614",703-32-60,wradchenko@example.net
Гузь,Лілія,Сергіївна,жіноча,1996-01-23,Архітектор,селище Умань,"парк Хімічний 2-й, буд. 4, Вашківці, 95294",+380 34 304 12 54,stusfedir@example.com
Александренко,Світлана,Михайлівна,жіноча,1949-09-29,Ріелтор,хутір Помічна,"узвіз 1-ша Лінія Марії Демченко, буд. 397 кв. 35, Кодима, 61985",053 680 65 15,atamanchukiaroslav@example.com
Барабаш,Олесь,Ігоревич,чоловіча,2004-06-27,Гицель,селище Новоселиця,"парк Розумовський 1-й, буд. 80 кв. 450, Пустомити, 14555",+380 (26) 824-26-87,niesypenko@example.com
Жаліло,Святослава,Ігорівна,жіноча,1993-01-17,Педагог,хутір Боково-Хрустальне,"вулиця Адміральський, буд. 9 кв. 4, Ладижин, 05533",+380 (20) 369-31-54,bohdandubenko@example.com
Дергач,Василь,Вікторович,чоловіча,2004-11-28,Зоолог,село Ладижин,"шосе Разумовська, буд. 7, Ізмаїл, 88911",689 09 36,mariia62@example.com
Орлик,Панас,Вікторович,чоловіча,2000-04-07,Інженер,місто Скалат,"набережна Штабний, буд. 489 кв. 4, Одеса, 72822",+380 46 141-04-66,viacheslavmykytiuk@example.org
Дзиндра,Охрім,Федорович,чоловіча,1991-01-21,Гінеколог,хутір Мукачево,"парк Садова 2-га, буд. 0, Волочиськ, 39406",+380 (15) 119-14-18,viterarsen@example.net
Єфименко,Аарон,Миколайович,чоловіча,1943-05-08,Няня,селище Токмак,"провулок Виставочна, буд. 3 кв. 17, Мостиська, 72771",+380 22 083-84-65,deinekohryhorii@example.net
Фартушняк,Руслан,Андрійович,чоловіча,1964-06-02,Кушнір,селище Остер ,"вулиця Артезіанська, буд. 5 кв. 71, Берегове, 16112",033 096 59 40,sofiiaokhrimenko@example.com
Прокопович,Михайлина,Олегівна,жіноча,1957-01-27,Пекар,хутір Яремче,"вулиця Колонтаївська, буд. 44 кв. 8, Часів Яр, 11100",+380 (84) 403-08-67,opanasiarosh@example.org
Алексюк,Дан,Артемович,чоловіча,1991-04-06,Геолог,село Борзна,"сквер Чорноморський 4-й, буд. 8, Моспине, 19502",+380 81 534-87-83,vnalyvaiko@example.net
Акуленко,Пилип,Васильович,чоловіча,2004-06-23,Піаніст,місто Хмельницький,"проспект Садова 3-тя, буд. 02 кв. 2, Волочиськ, 74738",+380 48 009-51-36,nredko@example.org
Їжакевич,Захар,Федорович,чоловіча,1946-04-18,Стоматолог,село Рудки,"узвіз Воронцовський, буд. 2, Валки , 94994",062 09 55,danylokhrystenko@example.net
Короленко,Мирон,Павлович,чоловіча,1995-08-21,Золотар,селище Кагарлик,"узвіз Старосінна, буд. 1, Пустомити, 74723",033 086 90 60,erika50@example.com
Москаль,Олекса,Федорович,чоловіча,1993-07-26,М'ясник,хутір Кодима,"провулок Кропивницького, буд. 92, Червоноград, 74883",+380 55 261 67 04,onishchukhryhorii@example.org
